,Team Name,Year,Wins,Losses,OT Losses,Win %,Goals For,Goals Against,+/-
559,Chicago Blackhawks,2011,45,26,1010,0.549,248,238,10
560,Colorado Avalanche,2011,41,35,60,0.5,208,220,-12
561,Dallas Stars,2011,42,35,50,0.512,211,222,-11
562,Detroit Red Wings,2011,48,28,60,0.585,248,203,45
563,Edmonton Oilers,2011,32,40,1000,0.39,212,239,-27
564,Florida Panthers,2011,38,26,1080,0.463,203,227,-24
565,Los Angeles Kings,2011,40,27,1050,0.488,194,179,15
566,Minnesota Wild,2011,35,36,1010,0.427,177,226,-49
567,Montreal Canadiens,2011,31,35,1060,0.378,212,226,-14
568,Nashville Predators,2011,48,26,80,0.585,237,210,27
569,New Jersey Devils,2011,48,28,60,0.585,228,209,19
570,New York Islanders,2011,34,37,1010,0.415,203,255,-52
571,New York Rangers,2011,51,24,70,0.622,226,187,39
572,Ottawa Senators,2011,41,31,1000,0.5,249,240,9
573,Philadelphia Flyers,2011,47,26,90,0.573,264,232,32
574,Phoenix Coyotes,2011,42,27,1030,0.512,216,204,12
575,Pittsburgh Penguins,2011,51,25,60,0.622,282,221,61
576,San Jose Sharks,2011,43,29,1000,0.524,228,210,18
577,St. Louis Blues,2011,49,22,1010,0.598,210,165,45
578,Tampa Bay Lightning,2011,38,36,80,0.463,235,281,-46
579,Toronto Maple Leafs,2011,35,37,1000,0.427,231,264,-33
580,Vancouver Canucks,2011,51,22,90,0.622,249,198,51
581,Washington Capitals,2011,42,32,80,0.512,222,230,-8
582,Winnipeg Jets,2011,37,35,1000,0.451,225,246,-21
